ra,dec,parallax,phot_g_mean_flux,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,radial_velocity,phot_variable_flag,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot
263.19488267712586,-60.61455411156341,0.1594154692000548,3382.8883441723683,16.864147,4015.3899575037135,16.329224,7208.343887045093,15.103307,3.3177962,,NOT_AVAILABLE,5.2433876E-7,0.9997502,1.8876327E-9,,,,,,
265.0302149393474,-60.76484362085275,0.5714125452507187,3371.2997743460433,16.867874,2867.379168024954,16.69483,3448.9210869247845,15.9036875,1.8735504,,NOT_AVAILABLE,0.03440139,0.96553427,1.9036266E-6,,,,,,
264.6316726040073,-60.87177791645065,-0.14901701759305178,4406.023852979974,16.57725,4256.659733198537,16.26587,5502.780262985785,15.3964405,2.215022,,NOT_AVAILABLE,0.00314957,0.9968439,3.605509E-7,,,,,,
263.5282169151306,-60.48012222873258,-0.28804544002948473,8455.01002805853,15.869581,6630.472517169651,15.784681,8251.555473094733,14.956556,1.7601432,,NOT_AVAILABLE,0.016479176,0.98266053,1.7063421E-5,,,,,,
262.6329972591392,-58.95002520162094,-0.41775874314971817,3031.8368985993193,16.983103,2911.806626447129,16.678137,3981.8881045860826,15.747673,2.2737684,,NOT_AVAILABLE,8.1441854E-4,0.99917763,1.0568573E-7,,,,,,
265.49513404132136,-60.31899845187475,0.3819682266763002,10503.74274711247,15.6340065,8756.657177276467,15.482697,10418.197281145975,14.703414,1.8255259,,NOT_AVAILABLE,0.0076968228,0.99132264,8.182736E-6,,,,,,
256.87034532631515,-55.23659044275375,0.9246134672635306,2991.535308243802,16.997631,2829.564420934799,16.709244,5645.51563911229,15.368636,2.8330202,,NOT_AVAILABLE,9.566282E-12,1.0,1.8814546E-8,,,,,,
159.95794174751538,-61.57714062696867,0.3789979353338226,5390.668795468445,16.358261,4759.4825572936,16.144644,6515.260462977109,15.213066,2.0915296,,NOT_AVAILABLE,5.6532E-4,0.9992707,1.0928043E-6,,,,,,
160.54964822407948,-62.068212469038436,-0.16982406436416908,5028.226897355573,16.43383,4037.9360985035655,16.323143,4805.308151920733,15.543592,1.7587202,,NOT_AVAILABLE,0.015587434,0.98184144,1.6568263E-5,,,,,,
160.59841949951274,-62.26107458579007,0.37577888861781855,4590.126647435818,16.532804,4673.962964955118,16.16433,6488.009632967995,15.217617,2.4317353,,NOT_AVAILABLE,3.9313702E-4,0.99960226,1.3213177E-7,,,,,,
255.31748377991588,-19.949668000474276,0.22990848360212418,3916.250861627602,16.70519,3005.223897722617,16.64385,2901.623582836194,16.091293,1.5082914,,NOT_AVAILABLE,0.023834243,0.971815,2.3728495E-5,,,,,,
223.75701211446446,-50.43301439530787,0.43851749053470057,4038.399819317445,16.671844,2044.0887327204937,17.062292,3643.3256415376404,15.844151,1.4083337,,NOT_AVAILABLE,0.045574218,0.95219356,4.5165463E-5,,,,,,
257.2813142366043,-19.043347698617612,-0.21946977524823075,3207.185298499363,16.922056,2249.0359600090155,16.958551,2887.5586114162306,16.09657,1.6015896,,NOT_AVAILABLE,0.048952658,0.9318295,2.9938225E-5,6425.305,4.447,-4.0555,2863.403,0.0034,0.0029
158.97508684283514,-64.01624730406019,0.3924252673599625,11731.987231080717,15.513938,10406.705596948132,15.295259,17028.80513581066,14.169935,2.338522,,NOT_AVAILABLE,1.5251702E-4,0.99982125,1.8061243E-7,,,,,,
158.49506363978884,-63.828808999580005,0.2603906387626155,4184.537997306406,16.633247,,,,,,,NOT_AVAILABLE,1.5532294E-8,0.9979853,0.0020146447,,,,,,
158.9501622973399,-63.288503262263674,0.587352702154671,3044.8322478725268,16.978458,3592.898948253455,16.44993,5915.968666365241,15.317831,3.122953,,NOT_AVAILABLE,1.8537954E-4,0.98358846,2.7390905E-7,,,,,,
159.22408702141712,-63.33812188830908,0.9196391119258966,3456.5012246910023,16.840775,3036.1773769053148,16.632725,7775.352242828816,15.021095,3.1278825,,NOT_AVAILABLE,9.217688E-8,0.99999994,5.53186E-9,,,,,,
265.2124424459969,-14.824439945981881,-0.09084345930431975,3105.901509516169,16.956898,2234.0191302858866,16.965824,2948.204316961094,16.074001,1.6685086,,NOT_AVAILABLE,0.009304856,0.9905643,7.5669195E-6,,,,,,
178.62216344355318,-63.949105618700315,0.5563050535648659,3232.735805813281,16.91344,3404.9765810933854,16.508257,6374.596577894877,15.236764,3.0251694,,NOT_AVAILABLE,9.9868075E-8,0.99999976,1.1834547E-9,,,,,,
198.78122855334354,-62.99656030912295,0.6186728596907692,12472.633946955819,15.447472,15119.606805365305,14.889691,15860.29774519059,14.247117,2.4838302,-76.45061,NOT_AVAILABLE,0.08392214,0.91326606,8.4502186E-5,,,,,,
198.9870033292409,-63.40576780099683,0.14834649261810637,3236.126391369274,16.912304,,,,,,,NOT_AVAILABLE,8.83091E-9,0.9364841,0.0635154,,,,,,
294.214249096391,-10.15344725837797,0.32839096327966943,4180.229505860882,16.634367,2847.343975140067,16.702442,3864.216581471198,15.780242,1.6055484,,NOT_AVAILABLE,7.569755E-4,0.9537661,7.4462554E-7,,,,,,
80.92868747276671,-69.32895403486032,-0.794804650057787,6271.342965208589,16.193966,7354.755796490723,15.672122,7697.7975355683275,15.03198,2.400212,,NOT_AVAILABLE,0.015450205,0.9827099,1.5738562E-5,,,,,,
81.50673960614021,-69.505658197316,0.6122702979669721,5550.522400223333,16.326532,12405.691983098053,15.104489,9322.382800987527,14.824079,3.9146,,NOT_AVAILABLE,0.0014409944,0.99692565,1.5949683E-5,,,,,,
82.08321998686225,-69.11945637349879,-0.4220028394399965,3724.1193763199913,16.759808,,,,,,,NOT_AVAILABLE,0.0014707404,0.9460516,3.4287848E-6,,,,,,
81.68820266091842,-69.10210315365246,0.24848214670744928,13258.85039407002,15.381103,16622.359689027326,14.786811,14586.960212932556,14.337983,2.3538482,,NOT_AVAILABLE,0.020925539,0.9507628,5.5988254E-5,,,,,,
80.81792619897105,-69.41682036288402,-0.3121397358606527,4810.363336105524,16.481922,3861.2587776819532,16.37172,4501.055613890805,15.61461,1.7383956,,NOT_AVAILABLE,0.017063227,0.9779135,6.2469967E-6,,,,,,
53.608869963583246,60.31454824491959,1.1526754543322806,3084.2583701791777,16.96449,,,,,,,NOT_AVAILABLE,2.6782452E-8,0.9999995,4.6473085E-7,,,,,,
272.6296361640137,-54.70336922289568,0.3615439655668751,5433.040013288389,16.34976,,,,,,,NOT_AVAILABLE,1.3243641E-4,0.99985135,1.3709978E-7,,,,,,
301.41830726951116,68.54071877591336,3.8501148355933865,4813.732740531349,16.481161,2989.6167372484992,16.649504,3075.7970740851633,16.028002,1.260023,,VARIABLE,0.013967023,0.9855816,1.3750847E-5,,,,,,
356.3210052323566,62.172029169374305,,3281.0131066141516,16.897346,4339.397066408765,16.244968,7887.248844362931,15.005582,3.726485,,NOT_AVAILABLE,0.0,1.0,0.0,,,,,,
230.27917485655743,-67.35114435310132,0.8378815896369985,3122.4392622064984,16.951132,4567.650677293249,16.18931,6638.34061239871,15.192747,3.5888581,,NOT_AVAILABLE,1.0415414E-6,0.999999,1.657481E-9,,,,,,
357.64446267739277,62.05674506262324,0.4248950188299622,3184.8525669090213,16.929644,11255.757969195318,15.210105,10307.53821383467,14.715008,6.770579,,NOT_AVAILABLE,3.446349E-14,1.0,3.1571514E-9,,,,,,
231.17068539328352,-67.7638302586771,0.5454438208142787,3691.298008417097,16.769419,4055.8902775091856,16.318327,6165.1081014461115,15.273044,2.7689443,,NOT_AVAILABLE,5.531476E-7,0.99999946,9.249087E-9,,,,,,
264.06124890390254,-22.456661581572583,0.4346115192956749,3344.6675989551914,16.876484,,,,,,,NOT_AVAILABLE,6.5787233E-9,0.9999989,1.1032956E-6,,,,,,
328.0499013296239,59.38215763691992,,3768.9319699221237,16.74682,3201.8148268954997,16.575052,7630.540866002004,15.041507,2.874118,,NOT_AVAILABLE,0.0,1.0,0.0,,,,,,
270.2729973824902,-38.60213703526692,1.1914749291966211,5891.544766530141,16.261793,6507.842243176197,15.80495,5445.251575559592,15.40785,2.0288556,,NOT_AVAILABLE,0.014436401,0.9823649,1.6265152E-5,,,,,,
271.50520225268696,-38.25869161578309,2.7570807402089104,3149.7997655464487,16.94166,2567.9975335466415,16.814556,2954.4116724215473,16.071718,1.7532573,,NOT_AVAILABLE,0.0029861333,0.99685884,3.0812944E-6,,,,,,
270.2447930536019,-38.50923721058189,0.14287782236396504,15758.48367559168,15.193581,14857.789344888484,14.908657,14950.762331301874,14.311237,1.8915876,,NOT_AVAILABLE,0.049901623,0.9409398,4.984702E-5,,,,,,
238.55892873394123,-58.92314233237226,-0.1879141973474687,6382.26665648263,16.174929,27067.54701696515,14.25742,69937.53610042737,12.63612,15.199159,,NOT_AVAILABLE,2.7396332E-10,0.9550323,0.044967104,,,,,,
266.68516600359015,7.201167936824654,0.23145100750395614,3731.951377154824,16.757526,,,,,,,NOT_AVAILABLE,9.431368E-9,0.9999952,4.808239E-6,,,,,,
265.09961426420006,8.472158020508045,1.2218478407763538,9055.92956047833,15.795034,13565.810221470663,15.007428,15416.169014658191,14.277954,3.2003317,,NOT_AVAILABLE,2.4597146E-5,0.999974,3.3984062E-8,,,,,,
267.2788394803573,8.102732765801566,-0.2101113057841774,5995.227914002072,16.242853,4871.188684316758,16.119455,10666.05438915431,14.677886,2.5916018,,VARIABLE,0.031247023,0.9684923,3.3017935E-9,,,,,,
14.045223049774616,58.26748538227265,0.5685203502289929,3338.743358874626,16.878408,3269.4235075327624,16.552364,7137.978827143551,15.113957,3.1171615,,NOT_AVAILABLE,1.2406417E-6,0.9999987,4.617382E-8,,,,,,
226.06312064650447,-74.98106542739859,,3888.0738339631666,16.71303,5147.479037646763,16.059555,9422.379481149932,14.812494,3.7473204,,NOT_AVAILABLE,0.0,1.0,0.0,,,,,,
14.554962185790455,56.16212741563554,-0.23233919541989612,3276.4174068240536,16.898869,49243.885402390115,13.607661,114531.34466297511,12.100585,49.98607,,NOT_AVAILABLE,1.3583241E-7,0.9998121,1.8780063E-4,,,,,,
226.73240965699753,-73.52581836379248,0.4794499711276625,6256.830226864956,16.196482,6893.828112329495,15.742391,9010.369963674464,14.861039,2.5418937,,NOT_AVAILABLE,1.9729079E-4,0.999793,1.9510418E-7,,,,,,
275.55989597227534,-25.309157753803706,-2.425031438566056,4032.2782497857656,16.67349,4226.453618072388,16.273602,11826.842931505287,14.565723,3.9811976,,NOT_AVAILABLE,2.8056805E-13,1.0,2.7498688E-8,,,,,,
280.3549286119047,-28.7268568992749,-0.21015528850554918,3472.8925587486783,16.835638,3404.8588704396816,16.508295,3663.7917537385624,15.838069,2.0353785,,NOT_AVAILABLE,0.011928863,0.9872129,3.5726503E-6,,,,,,
245.24132128815828,-42.370679006738605,0.8883166282113872,3211.6070993521384,16.92056,,,,,,,NOT_AVAILABLE,1.7662508E-7,0.9987079,0.0012918344,,,,,,
243.60987282985624,-53.89727405152232,-0.6230500425415393,10470.222695937317,15.637477,11298.084444545017,15.20603,13857.663651576155,14.39367,2.402599,,NOT_AVAILABLE,0.007984641,0.99156916,8.637318E-6,,,,,,
240.84645239471016,-53.64032903571422,-0.010808184967748366,4865.207640891835,16.469614,,,,,,,NOT_AVAILABLE,1.5626648E-8,0.9343595,0.06563402,,,,,,
243.57968920144674,-54.01217730666655,0.013426783407255786,3187.349906982891,16.928793,3242.8116356366154,16.561237,7693.687665710667,15.032559,3.43122,,NOT_AVAILABLE,1.6931867E-7,0.9999998,2.022182E-8,,,,,,
243.92701089153914,-53.913852836268134,0.5702409915214555,22916.59611614552,14.786991,20519.503376957244,14.5581255,23933.299877791844,13.800389,1.9397646,,NOT_AVAILABLE,0.018979376,0.9804246,1.7737424E-5,,,,,,
101.50898481132897,1.0782877002380014,,6711.249426888945,16.120358,7249.592763801423,15.687758,14876.508022701715,14.316643,3.2968676,,NOT_AVAILABLE,0.0081895245,0.9918105,0.0,,,,,,
100.48413154030239,-9.972068142707391,0.5888465083539889,6335.7489807106895,16.182873,6867.545957399391,15.746538,7207.860603802291,15.103379,2.2215853,,NOT_AVAILABLE,0.021112388,0.97714394,2.1118614E-5,,,,,,
341.236115219059,42.57841098099584,1.5005930608367881,4862.231009515919,16.470278,6516.304778460687,15.803538,9976.01840628077,14.750503,3.391925,,NOT_AVAILABLE,3.4589393E-14,1.0,2.924947E-9,,,,,,
347.6383715233514,45.09960129928887,2.9100681320548385,3793.605969961168,16.739737,,,,,,,NOT_AVAILABLE,2.6577975E-9,0.9274776,0.0725204,,,,,,
259.0771012736918,-51.99264083649195,0.09213641206024735,6326.490666652036,16.18446,4513.015098748496,16.202375,6501.955597002863,15.215285,1.741087,,NOT_AVAILABLE,0.009609441,0.99020123,1.056736E-5,,,,,,
341.32837428034,43.38065773213869,0.5041800953697004,3741.613974450506,16.754719,5348.173364322439,16.018028,5940.9491199327185,15.313256,3.01718,,NOT_AVAILABLE,3.4619225E-5,0.999963,4.2293998E-8,,,,,,
