ra,dec,parallax,phot_g_mean_flux,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,radial_velocity,phot_variable_flag,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot
250.35308836456642,-51.79542529771431,0.46129530725849144,6396.583548916907,16.172497,963.2502048520246,17.879194,10106.253895641967,14.73642,1.7305338,-175.2391,VARIABLE,0.9990335,4.9901217E-8,9.6628617E-4,,,,,,
294.8725767575015,70.13027760667651,-0.03291487381539694,10699.3655812307,15.613972,5995.068999543899,15.894056,7976.051492825263,14.993425,1.3057896,,VARIABLE,0.98500806,3.723805E-6,0.014987197,30068.334,4.3535,-0.794,14051.825,2.3779,2.2354
291.95206291571463,73.96710299731167,-0.003002304970018561,7844.65408058737,15.9509325,4638.8104012171725,16.172525,5508.190931725772,15.395373,1.2934926,,VARIABLE,1.0,1.9911805E-14,1.9061773E-13,6029.45,3.7346,-4.1243,3782.69,0.0105,0.009
270.3684596732025,75.30212612481141,-0.0018078391555875588,9403.5601079965,15.754136,5276.295990307895,16.032719,6226.612001204757,15.262266,1.2232503,,VARIABLE,0.99663436,1.3040037E-9,0.003365648,24454.14,4.3889,-0.9561,9446.8125,2.3195,2.1617
277.5965086270733,73.21964177861925,-0.02767229718613757,22457.57935535279,14.80896,12702.64055121787,15.078807,16108.677259592983,14.230246,1.2829218,,VARIABLE,0.9994111,1.06571075E-4,8.89435E-9,33424.105,4.3475,-0.9976,13511.155,2.1094,2.0123
283.7387496398797,73.85552964779056,-0.07783904610216083,4160.407916898522,16.639526,2469.1242232321897,16.857185,2753.291870253609,16.148264,1.2552654,,VARIABLE,1.0,2.7272299E-15,2.448526E-16,11013.9375,4.1602,0.2976,9058.46,1.4757,1.363
127.79835227402276,-36.803047340143834,1.5453976334016624,317723.55577370175,11.932243,323173.5310773069,11.564953,316764.49896489317,10.996055,2.0141346,,NOT_AVAILABLE,0.9398675,4.7096552E-8,9.2419307E-4,,,,,,
253.85184513834784,-64.01360430390051,0.8445058000958996,139743.87731431742,12.824035,114579.09032107457,12.690779,122994.09618294628,12.023185,1.7000616,,NOT_AVAILABLE,0.9266243,0.057779986,9.203271E-4,9990.1455,3.2086,-1.4421,3752.816,1.2199,1.1272
154.59319290543283,-64.26404389418646,0.8496874781918903,395563.50381563447,11.694326,339489.9560453614,11.511475,373966.1019490415,10.815815,1.8036448,,NOT_AVAILABLE,0.9264216,0.04332552,9.180239E-4,,,,,,
166.16111628914715,-67.12731439639091,0.5458636827897309,4184.274599632158,16.633316,2614.3244054705883,16.795143,2465.2686636291214,16.268234,1.2139722,,NOT_AVAILABLE,0.9258138,5.3760747E-8,9.111194E-4,6598.506,4.5941,-3.5765,2354.8423,4.0E-4,4.0E-4
283.1582473651358,-8.285467716275333,0.4867939680789795,4215.971133929323,16.625122,2730.1238692126044,16.748087,2464.296777516454,16.268663,1.2320817,,NOT_AVAILABLE,0.9969814,3.122392E-8,4.6176643E-7,7018.1074,4.3945,-3.6133,3583.5476,0.0016,0.0014
82.12225198269505,-69.06241290248407,-0.0769641682235487,8170.950904170093,15.906686,5538.1130413353285,15.980138,4330.184499952209,15.65663,1.2077293,,NOT_AVAILABLE,0.99994695,2.8967286E-12,2.8451534E-8,19704.102,4.5533,-0.9935,8745.322,1.2199,1.1747
82.28733383172107,-69.40366430672952,0.01592468002136869,7261.489465197993,16.034803,5675.027939250988,15.953622,5653.62592712561,15.367078,1.5601006,,VARIABLE,0.9999998,3.0920038E-8,9.411254E-10,,,,,,
82.67669763613057,-69.20426999214949,-0.03390978943605893,3480.1812265816,16.833363,2347.894857718756,16.911846,1875.4498420999823,16.565132,1.2135416,,NOT_AVAILABLE,0.9966987,2.6877162E-8,5.6245864E-7,19618.615,4.5483,-0.9805,13165.048,1.2117,1.1668
292.7208042277296,7.703114817017313,,16800.277791201173,15.124076,19569.95847315895,14.609568,22732.668120339964,13.85627,2.5179718,,NOT_AVAILABLE,0.9073699,0.090951614,0.0,,,,,,
275.2210648224334,-53.13947957481449,0.7089513880234248,134076.54459741578,12.868985,123662.03696180542,12.607951,125109.5954159066,12.004669,1.8554448,-40.591106,NOT_AVAILABLE,0.913024,0.07153175,9.096879E-4,6086.666,2.8875,-4.0888,2831.0806,0.5713,0.4841
294.5713332774246,14.758766391919803,0.7610835718787579,4755.985304165181,16.494267,2593.8858598258416,16.803665,3281.6177189732543,15.957676,1.2353915,,NOT_AVAILABLE,0.9659963,1.7552519E-7,0.034003217,,,,,,
289.17120006564187,63.97325015586072,,3195.177772536732,16.926128,3996.2857563060847,16.3344,4711.791025904879,15.564931,2.725381,,NOT_AVAILABLE,0.9521366,0.044573102,0.0,,,,,,
290.19177699302077,64.03327778947204,-0.04808039232160795,3019.552127757289,16.98751,1750.5647561963199,17.230597,1947.2581202056488,16.524336,1.2246263,,VARIABLE,0.97828674,1.0951621E-9,0.021712082,5859.775,4.6069,-2.478,1920.126,0.0228,0.0193
281.4256353776477,63.43617855355332,-0.033713535843784455,4252.364699684496,16.615791,2631.4232600381083,16.788065,2444.9620591669855,16.277216,1.1937793,,VARIABLE,0.99968874,1.0481609E-14,3.1122402E-4,6668.6226,4.3925,-4.1259,2944.3286,7.0E-4,6.0E-4
